IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KALG005-10,FJ3-005,FJ3-005,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG006-10,FJ5-006,FJ5-006,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG007-10,FJ5-007,FJ5-007,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG008-10,FJ5-008,FJ5-008,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG009-10,FJ5-009,FJ5-009,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG010-10,FJ5-010,FJ5-010,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG091-10,CM34-091,CM34-091,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG092-10,CM34-092,CM34-092,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG093-10,CM34-093,CM34-093,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG094-10,CM34-094,CM34-094,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG001-10,FJ3-001,FJ3-001,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG126-10,CM42-126,CM42-126,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG127-10,CM42-127,CM42-127,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG128-10,CM42-128,CM42-128,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG129-10,CM42-129,CM42-129,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
